GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Atv1,com.acme.credvarejo.cliente,Cpf,38,246,21,29,10,47,21,10,0,6
Atv1,com.acme.credvarejo.cliente,ControladorCliente,8,47,2,4,4,19,2,7,0,6
Atv1,com.acme.credvarejo.cliente,Cliente,41,127,10,12,17,34,21,10,11,9
Atv1,com.acme.credvarejo.contaCrediario,ContaCrediarioEspecial,66,75,4,2,18,19,6,5,3,5
Atv1,com.acme.credvarejo.conta,MovimentoCrediario,6,117,3,7,3,26,4,11,1,9
Atv1,com.acme.credvarejo.conta,ControladorMovimentoCrediario,8,24,2,2,4,11,2,3,0,3
Atv1,com.acme.credvarejo.conta,MovimentoCrediarioCredito,0,6,0,0,0,2,0,1,0,1
Atv1,com.acme.credvarejo.conta,ContaCrediario,24,99,2,4,10,35,7,15,5,14
Atv1,com.acme.credvarejo.conta,IdentificadorContaCrediario,9,77,4,6,3,19,4,7,0,6
Atv1,com.acme.credvarejo.conta,ControladorContaCrediario,8,120,7,9,4,32,7,7,0,6
Atv1,com.acme.credvarejo.conta,MovimentoCrediarioDebito,0,6,0,0,0,2,0,1,0,1
Atv1,com.acme.credvarejo.classesGerais,Registro,1,10,0,0,1,5,1,3,1,3
Atv1,com.acme.credvarejo.classesGerais,Repositorios,33,31,0,0,9,9,6,3,6,3
Atv1,com.acme.credvarejo.classesGerais,RepositorioRegistro,3,184,4,20,1,37,4,14,0,6
Atv1,com.acme.credvarejo.ado.cliente,RepositorioCliente,12,181,7,17,4,36,7,11,0,6
Atv1,com.acme.credvarejo.ado.conta,RepositorioMovimentoCrediario,0,164,0,4,0,27,0,6,0,4
Atv1,com.acme.credvarejo.ado.conta,RepositorioContaCrediario,23,146,4,10,6,28,5,10,2,6
